Country Name,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Colombia,COL,62940388.015659034,62430675.01881902,68088855.99153665,73288661.9808583,77040002.99099897,76926326.01115844,80186288.98796229,92734763.0125688,86680545.9972256,94109888.01150571,97813557.99354438
Comoros,COM,161347.999720925,102676.00017808,106343.000124526,132012.000142972,161347.999661044,135678.999839556,143013.00014087002,176016.000293935,154014.00004176,168681.9999832,201685.000146784
Cabo Verde,CPV,473043.00022668,506045.9999017,469375.999865018,524380.999790981,557384.000209752,616055.999957672,506046.00019059,498712.0001157,491377.999822773,495044.999898268,542716.0000588481
Costa Rica,CRI,7099312.001174796,8122405.000309932,8129738.999396875,7902385.00120216,7568688.00023635,7374337.002293226,7337666.999439999,7719034.999438916,7843713.001596356,7513683.002273864,8023395.999934425
Caribbean small states,CSS,62397672.002868444,63805799.998655595,64051488.99695637,61715609.99729061,65419279.99983934,63937811.99821133,62746037.0028876,65254265.00091113,63710458.00280385,63266750.99782472,61722943.99690357
Cuba,CUB,26505075.99479296,25958692.998803187,27942540.00472765,28206564.00018821,34114101.004231155,29380004.00486662,29746703.99930363,27953541.003897283,27623510.996157657,29244325.003916487,28283571.001230776
Curacao,CUW,,,,,,,5999212.00042752,5214474.000568621,5881867.99949645,6395248.0000722,5390490.0001124805
Cayman Islands,CYM,484043.999987,572051.999908,583052.9998184,557384.00008446,557384.000027008,586719.99979658,535382.000012562,535382.000024628,546382.9999988159,557384.00001362,546383.000001046
Cyprus,CYP,7788707.999578687,8195744.999990393,8577112.999984074,8111403.9996906845,7708034.00008716,7425675.000145344,6919629.000133146,5947874.000137982,6061551.000517425,6138558.000158429,6626268.999881258
Czech Republic,CZE,122092764.99361351,123288206.97537144,116716943.00022618,107710791.04508832,112745582.03298059,107993149.96678199,103350727.99558502,102012273.00342563,97160832.00080857,99852410.00371222,102217624.99704778
Germany,DEU,816721574.0286639,781247016.0292552,779296171.9873203,720547164.9851848,757880892.0106707,729810006.966018,738141430.9962969,757961566.0073978,720363815.0275025,727045089.0143056,727972839.9744751
Djibouti,DJI,410704.000317842,462041.999739134,498712.0001167,458374.99999710295,517046.999723226,473042.999900352,480377.0003514,572051.999980437,612388.999642008,627056.999831313,619722.9999384
Dominica,DMA,143013.000014402,183349.99999197002,165015.000014988,161348.000021736,172348.99997848802,154013.999979368,165015.000012825,168681.99997571998,176016.00003350998,176015.999975907,179682.99999730202
Denmark,DNK,55019667.99103896,50318573.998005316,47421644.00094221,44488043.999331675,45815497.998515174,40656028.9993046,36427978.00166149,37253053.00035827,33146012.99744165,30817468.000327386,31785556.00082242
Dominican Republic,DOM,19783465.004543055,21173258.002381157,20711215.996218275,20227172.00436735,21022911.00225262,21767312.00208411,21965329.99852893,21473952.004451424,22145012.999704577,24136193.99554208,25258296.0013743
Algeria,DZA,101069853.9862393,109404945.01122658,110208018.01148762,121399702.00221522,119177499.99322791,121187016.00311388,129987815.9981136,134465223.00769126,145411217.9856788,153133920.0152424,150005969.00950995
East Asia & Pacific (excluding high income),EAP,7566735832.736609,7772136778.880205,8707515637.584412,8748576023.873814,10004234702.776737,11048097032.438032,11385465481.770678,11544822466.901827,11555273667.609764,11582531134.76241,11421388277.83563
